rank,verbatim_factor,total_refs,transcripts,cross_case_factor,confidence,rationale
4379,liquid waste temporary reservoirs,1,1,Service Performance,high,'liquid waste' over 'reservoir'
4380,liquid waste transport,1,1,Service Performance,high,'liquid waste' over 'transport'
4381,liquid waste treatment coverage,1,1,Infrastructure,high,'waste treatment' over 'liquid waste'
4382,liquid waste truck adequacy,1,1,Service Performance,high,'liquid waste' over 'truck'
4383,liquid waste trucks,1,1,Service Performance,high,matched 'liquid waste'
4384,littering,1,1,Community / Users,high,matched 'littering'
4385,livestock health,1,1,Community / Users,high,matched 'livestock'
4386,livestock water access,1,1,Service Performance,high,'water access' over 'livestock'
4387,living conditions,1,1,Community / Users,low,token-overlap fallback (1)
4388,living standard,1,1,Community / Users,high,'living standard' over 'standard'
4389,living standards,1,1,Community / Users,high,'living standard' over 'standard'
4390,loan repayment obligation,1,1,Community Finance,high,matched 'payment'
4391,local adoption of RO systems,1,1,Govt Management,low,token-overlap fallback (2)
4392,local artisan capacity,1,1,Govt Management,low,token-overlap fallback (7)
4393,local artisan involvement,1,1,Govt Management,low,token-overlap fallback (3)
4394,local artisan training,1,1,Capacity Building,high,matched 'training'
4395,local availability of construction materials,1,1,Infrastructure,high,matched 'construction'
4396,local breakdown repair,1,1,Service Performance,high,'breakdown' over 'repair'
4397,local capacity at project level,1,1,Govt Management,high,matched 'local capacity'
4398,local champion training,1,1,Capacity Building,high,matched 'training'
4399,local community consultation in water scheme planning,1,1,Community / Users,medium,'community' over 'planning'
4400,local community safety,1,1,Community / Users,high,matched 'community'
4401,local community training,1,1,Community / Users,medium,'community' over 'training'
4402,local community water supply,1,1,Service Performance,high,'water supply' over 'community'
4403,local consultant capacity,1,1,Govt Management,low,token-overlap fallback (7)
4404,local electric technicians,1,1,O&M,high,matched 'technician'
4405,local electromechanical staff,1,1,O&M,high,'mechanic' over 'staff'
4406,local expert maintenance capacity,1,1,O&M,high,'maintenance' over 'expert'
4407,local financial capacity,1,1,Govt / External Finance,high,matched 'financial capacity'
4408,local financing and in-kind contributions,1,1,Govt / External Finance,high,matched 'financing'
4409,local fund alignment with foreign aid,1,1,Govt / External Finance,medium,matched 'aid'
4410,local government commitment,1,1,Govt Management,high,matched 'government commitment'
4411,local government procurement mandate,1,1,Private Sector,low,'procurement' over 'government'
4412,local knowledge access,1,1,Service Performance,low,token-overlap fallback (7)
4413,local management and administration of water schemes,1,1,Govt Management,high,matched 'administration'
4414,local monitors and repair persons at kebele level,1,1,O&M,low,'repair' over 'monitor'
4415,local operator capacity,1,1,O&M,high,matched 'operator'
4416,local operator capacity building,1,1,Capacity Building,high,'capacity build' over 'operator'
4417,local operator compensation,1,1,O&M,high,matched 'operator'
4418,local personnel payment,1,1,Govt Management,medium,'personnel' over 'payment'
4419,local repair staff capacity,1,1,O&M,medium,'repair' over 'staff'
4420,local resource person capacity,1,1,Govt Management,low,token-overlap fallback (9)
4421,local resource persons for system maintenance,1,1,O&M,high,matched 'maintenance'
4422,local resource utilization,1,1,Govt / External Finance,low,token-overlap fallback (3)
4423,local scheme maintenance capacity,1,1,O&M,high,matched 'maintenance'
4424,local selection authority,1,1,Politics,high,matched 'election'
4425,local spare parts affordability,1,1,O&M,high,'spare part' over 'affordab'
4426,local spare parts stockist,1,1,O&M,high,matched 'spare part'
4427,local technical input in project proposals,1,1,Planning,low,token-overlap fallback (7)
4428,local technical team participation in project feasibility,1,1,Community Management,high,'participation' over 'feasibility'
4429,local technical training,1,1,Capacity Building,high,matched 'training'
4430,local ward offices with qualified personnel,1,1,Govt Management,high,matched 'personnel'
4431,local water access,1,1,Service Performance,high,matched 'water access'
4432,local water source development,1,1,Infrastructure,high,matched 'water source development'
4433,local water source management,1,1,Service Performance,low,token-overlap fallback (30)
4434,localized WSP management offices,1,1,O&M,low,token-overlap fallback (6)
4435,logistic facility (vehicle),1,1,Infrastructure,high,matched 'facility'
4436,logistic support,1,1,Govt / External Finance,low,token-overlap fallback (5)
4437,logistics provision to water offices,1,1,Service Performance,low,token-overlap fallback (29)
4438,"logistics, staffing and manpower capacity of coordination office",1,1,Coordination,medium,'coordinat' over 'staffing'
4439,long travel distances for maintenance,1,1,O&M,high,matched 'maintenance'
4440,long-term institutional collaboration,1,1,Coordination,high,matched 'collaborat'
4441,long-term sanitation planning,1,1,Planning,high,matched 'planning'
4442,long-term student training,1,1,Capacity Building,high,matched 'training'
4443,long-term supplier contracts,1,1,Private Sector,high,matched 'supplier'
4444,long-term system management,1,1,O&M,high,matched 'system management'
4445,long-term water resource planning,1,1,Environmental,high,'water resource' over 'planning'
4446,low rainfall,1,1,Environmental,high,matched 'rainfall'
4447,low water tariffs,1,1,Community Finance,high,matched 'tariff'
4448,low-cost project design,1,1,Planning,high,matched 'project design'
4449,lower-level government action on sanitation,1,1,Govt Management,high,matched 'government action'
4450,lowest-bid consultant selection,1,1,Politics,high,matched 'election'
4451,lowest-bid procurement criteria,1,1,Private Sector,high,matched 'procurement'
4452,lowland pastoralist geography,1,1,Environmental,high,matched 'geography'
4453,loyalty to laws,1,1,Laws + Regulations,medium,matched 'laws'
4454,machine efficiency,1,1,Infrastructure,low,token-overlap fallback (1)
4455,machineries and equipment availability,1,1,Infrastructure,high,matched 'equipment'
4456,main pipeline capacity,1,1,Infrastructure,high,matched 'pipeline'
4457,maintenance,1,1,O&M,high,matched 'maintenance'
4458,maintenance access,1,1,O&M,high,matched 'maintenance'
4459,maintenance accountability,1,1,O&M,high,'maintenance' over 'accountab'
4460,maintenance and expansion works,1,1,O&M,high,'maintenance' over 'expansion'
4461,maintenance and materials support to woreda,1,1,O&M,high,'maintenance' over 'woreda'
4462,maintenance and operation knowledge,1,1,O&M,high,matched 'maintenance'
4463,maintenance and operation quality,1,1,O&M,high,matched 'maintenance'
4464,maintenance and rehabilitation of water schemes,1,1,O&M,high,matched 'maintenance'
4465,maintenance and repair funds,1,1,O&M,high,matched 'maintenance'
4466,maintenance and replacement,1,1,O&M,high,matched 'maintenance'
4467,maintenance and replacement funding,1,1,O&M,high,'maintenance' over 'funding'
4468,maintenance budget,1,1,O&M,high,'maintenance' over 'budget'
4469,maintenance budget allocation,1,1,O&M,high,'maintenance' over 'budget'
4470,maintenance burden,1,1,O&M,high,matched 'maintenance'
4471,maintenance crew at zonal level,1,1,O&M,high,'maintenance' over 'zonal'
4472,maintenance demand,1,1,O&M,high,'maintenance' over 'demand'
4473,maintenance difficulty,1,1,O&M,high,matched 'maintenance'
4474,maintenance equipment (cranes),1,1,O&M,high,'maintenance' over 'equipment'
4475,maintenance fee payment,1,1,Community Finance,high,'maintenance fee' over 'maintenance'
4476,maintenance finance from government,1,1,O&M,medium,'maintenance' over 'government'
4477,maintenance financial cost,1,1,O&M,high,matched 'maintenance'
4478,maintenance financing,1,1,O&M,high,'maintenance' over 'financing'
4479,maintenance financing sustainability,1,1,O&M,medium,'maintenance' over 'sustainab'
4480,maintenance fund allocation,1,1,Govt / External Finance,high,'fund allocation' over 'maintenance'
4481,maintenance fund availability,1,1,O&M,high,matched 'maintenance'
4482,maintenance fund continuity,1,1,O&M,high,matched 'maintenance'
4483,maintenance funds,1,1,O&M,high,matched 'maintenance'
4484,maintenance kitty,1,1,O&M,high,matched 'maintenance'
4485,maintenance materials,1,1,O&M,high,matched 'maintenance'
4486,maintenance materials transport,1,1,O&M,high,'maintenance' over 'transport'
4487,maintenance materials/spare parts,1,1,O&M,high,matched 'maintenance'
4488,maintenance of broken water schemes,1,1,O&M,high,matched 'maintenance'
4489,maintenance of damaged water schemes,1,1,O&M,high,matched 'maintenance'
4490,maintenance of existing infrastructure,1,1,Infrastructure,high,'infrastructure' over 'maintenance'
4491,maintenance of existing water points,1,1,O&M,low,'maintenance' over 'water point'
4492,maintenance of existing water schemes,1,1,O&M,high,matched 'maintenance'
4493,maintenance of water infrastructure,1,1,Infrastructure,high,'infrastructure' over 'maintenance'
4494,maintenance of water points,1,1,O&M,low,'maintenance' over 'water point'
4495,maintenance operations,1,1,O&M,high,matched 'maintenance'
4496,maintenance problem resolution,1,1,O&M,high,matched 'maintenance'
4497,maintenance requirements,1,1,O&M,high,matched 'maintenance'
4498,maintenance resources,1,1,O&M,high,matched 'maintenance'
4499,maintenance response speed,1,1,O&M,high,matched 'maintenance'
4500,maintenance service cost coverage,1,1,O&M,high,'service cost' over 'coverage'
4501,maintenance service efficiency,1,1,O&M,high,matched 'maintenance'
4502,maintenance service expansion,1,1,O&M,high,'maintenance' over 'expansion'
4503,maintenance service in remote kebeles,1,1,O&M,high,matched 'maintenance'
4504,maintenance service in rural areas,1,1,O&M,high,matched 'maintenance'
4505,maintenance service provider linkages,1,1,Private Sector,high,'service provider' over 'maintenance'
4506,maintenance service reach,1,1,O&M,high,matched 'maintenance'
4507,maintenance service reach to kebeles,1,1,O&M,high,matched 'maintenance'
4508,maintenance service timeliness,1,1,O&M,high,matched 'maintenance'
4509,maintenance services,1,1,O&M,high,matched 'maintenance'
4510,maintenance skill training for local communities,1,1,O&M,high,'maintenance' over 'training'
4511,maintenance support by water and sanitation office,1,1,O&M,high,matched 'maintenance'
4512,maintenance team manpower effectiveness,1,1,O&M,high,'maintenance' over 'manpower'
4513,maintenance tools availability,1,1,O&M,high,matched 'maintenance'
4514,maintenance tools for WASHCos,1,1,O&M,high,'maintenance' over 'washco'
4515,maintenance tools provision,1,1,O&M,high,matched 'maintenance'
4516,major breakdown funding,1,1,Service Performance,high,'breakdown' over 'funding'
4517,major breakdown repair,1,1,Service Performance,high,'breakdown' over 'repair'
4518,major breakdowns,1,1,Service Performance,high,matched 'breakdown'
4519,major component replacement cost,1,1,O&M,low,token-overlap fallback (8)
