factor,bucket,confidence,rationale,total_refs
fund mobilization from NGOs and regional government,Govt Management,high,'government' over 'mobiliz',1
fund mobilization from multiple sources,Capacity Building,high,matched 'mobiliz',1
fund reinvestment into scheme,Govt / External Finance,high,matched 'investment',1
fund utilization,Govt / External Finance,low,token-overlap fallback (11),1
fund withdrawal authorization by water officer,Govt Management,high,matched 'officer',1
funding availability,Govt / External Finance,high,matched 'funding',1
funding delays from national to county government,Govt Management,high,'government' over 'funding',1
funding for capacity building programs,Capacity Building,high,'capacity build' over 'funding',1
funding for community engagement,Community Management,high,'community engagement' over 'community',1
funding for damping sites,Govt / External Finance,high,matched 'funding',1
funding for existing scheme maintenance,O&M,high,'maintenance' over 'funding',1
funding levels,Govt / External Finance,high,matched 'funding',1
fundraising contributions,Community / Users,low,no match — defaulted to Community / Users,1
funds accountability,Monitoring,high,matched 'accountab',1
future problem recurrence,Service Performance,low,token-overlap fallback (1),1
future project proposals,Planning,low,token-overlap fallback (8),1
future water availability,Service Performance,high,matched 'water availab',1
gap-filling by other organizations,Community / Users,low,no match — defaulted to Community / Users,1
gap-targeted recommendations,Community / Users,low,no match — defaulted to Community / Users,1
garbage collection coverage,Service Performance,high,matched 'coverage',1
garbage collection enterprise capacity,Private Sector,high,matched 'enterprise',1
garbage collection enterprises,Private Sector,high,matched 'enterprise',1
garbage collection infrastructure,Infrastructure,high,matched 'infrastructure',1
garbage collection timeliness,Community Finance,low,token-overlap fallback (2),1
garbage disposal capacity,Capacity Building,low,token-overlap fallback (7),1
garbage truck access,Infrastructure,medium,matched 'truck',1
garbage truck quantity,Infrastructure,medium,matched 'truck',1
garbage trucks,Community / Users,low,no match — defaulted to Community / Users,1
gas oil and battery supply,Service Performance,low,token-overlap fallback (1),1
gender violence against women,Community / Users,high,matched 'gender',1
generator availability,Infrastructure,high,matched 'generator',1
generator failure,Infrastructure,high,matched 'generator',1
generator fuel cost,O&M,low,'fuel cost' over 'generator',1
generator use,Infrastructure,high,matched 'generator',1
generator-powered boreholes,Infrastructure,high,matched 'generator',1
generators,Infrastructure,high,matched 'generator',1
generators and solar panels,Infrastructure,high,matched 'generator',1
genset dependency,Community / Users,low,no match — defaulted to Community / Users,1
genset-based power systems,Infrastructure,low,token-overlap fallback (2),1
geographic remoteness,Environmental,high,matched 'geograph',1
geological and technical expertise,Govt Management,high,matched 'expert',1
geological research,Community / Users,low,no match — defaulted to Community / Users,1
geological vulnerability (rift valley proximity),Community / Users,low,no match — defaulted to Community / Users,1
global warming,Community / Users,low,no match — defaulted to Community / Users,1
global warming awareness,Community / Users,high,matched 'awareness',1
good coordination,Coordination,high,matched 'coordinat',1
good policies,Laws + Regulations,high,matched 'policies',1
good relations with health office,Community / Users,high,matched 'health',1
good waste management system,Service Performance,high,matched 'waste management',1
governance contracts with committees,Govt Management,medium,'governance' over 'committee',1
governance training for water committees,Community Management,high,'water committee' over 'governance',1
government 1:5 community structures,Govt Management,medium,'government' over 'community',1
government WASH maintenance protocol,O&M,medium,'maintenance' over 'government',1
government action on dumping site,Govt Management,high,'government action' over 'dumping site',1
government agency commitment,Govt Management,high,matched 'government',1
government agency commitment to WASH responsibilities,Govt Management,high,matched 'government',1
government agency support,Govt Management,high,matched 'government',1
government and NGO attention to latrines,Govt Management,high,'government' over 'latrine',1
government and NGO budget allocation for water,Govt Management,high,'government' over 'budget',1
government and NGO budget for water sector,Govt Management,high,'government' over 'budget',1
government and NGO coordination,Govt Management,medium,'government' over 'coordinat',1
government and NGO emphasis on water schemes,Govt Management,high,'government' over 'ngo',1
government and NGO facilitation of local spare parts access,O&M,medium,'spare part' over 'government',1
government and NGO financial support,Govt / External Finance,high,'financial support' over 'government',1
government and NGO fund,Govt Management,medium,'government' over 'ngo fund',1
government and NGO investment in borehole development,Govt / External Finance,low,'investment' over 'government',1
government and NGO latrine construction,Infrastructure,high,'construction' over 'government',1
government and donor support,Govt Management,high,'government' over 'donor',1
government and local administrator oversight,Govt Management,medium,'government' over 'oversight',1
government and partner sanitation programs,Govt Management,high,matched 'government',1
government attention to sanitation service,Govt Management,medium,'government attention' over 'sanitation service',1
government attention to water service,Govt Management,high,'government attention' over 'water service',1
government attention to woreda water development,Govt Management,high,matched 'government attention',1
government attraction of NGOs and donors,Govt Management,high,'government' over 'donors',1
government attraction of partner organizations,Govt Management,high,matched 'government',1
government authority,Govt Management,high,matched 'government',1
government borehole drilling,Govt Management,medium,'government' over 'borehole',1
government borehole maintenance,O&M,medium,'maintenance' over 'government',1
government budget adequacy,Govt / External Finance,high,'government budget' over 'government',1
government budget allocation to WASH,Govt / External Finance,high,'government budget' over 'government',1
government budget allocation to WSPs,Govt / External Finance,high,'government budget' over 'government',1
government budget and donor support,Govt / External Finance,high,'government budget' over 'government',1
government budget capacity,Govt / External Finance,high,'government budget' over 'government',1
government budget cycle,Govt / External Finance,high,'government budget' over 'government',1
government budget for sanitation sector offices,Govt / External Finance,high,'government budget' over 'government',1
